X,Y
11678634.0447082,1296109.3788209
11678633.5215066,1296052.08870851
11678706.669544,1296052.53184861
11678706.4803009,1296073.41625318
11678714.5064362,1296073.56396664
11678712.8589077,1296083.11989304
11678709.7196981,1296089.244323
11678706.2799258,1296094.33475919
11678708.9070658,1296095.52783029
11678710.9108166,1296097.17540474
11678712.1798588,1296099.05023094
11678712.7698521,1296101.48182388
11678712.5249493,1296104.95877484
11678711.4117543,1296107.1631165
11678709.9200732,1296109.10611881
11678707.8940584,1296110.48099187
11678705.6565367,1296111.12865936
11678703.3299593,1296111.53771252
11678701.0590417,1296111.19683489
11678699.3113257,1296110.5378048
11678697.719457,1296109.24246986
11678634.0447082,1296109.3788209
